Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,191,0,Some Random Commen with Id 0
1,1,6,143,7,Some Random Commen with Id 1
2,1,6,4,8,Some Random Commen with Id 2
3,1,6,123,1,Some Random Commen with Id 3
4,1,6,179,1,Some Random Commen with Id 4
5,1,6,171,4,Some Random Commen with Id 5
6,1,6,130,0,Some Random Commen with Id 6
7,1,6,170,4,Some Random Commen with Id 7
8,1,6,90,9,Some Random Commen with Id 8
9,2,0,30,7,Some Random Commen with Id 9
10,2,0,108,5,Some Random Commen with Id 10
11,2,0,133,5,Some Random Commen with Id 11
12,3,1,183,0,Some Random Commen with Id 12
13,3,1,100,9,Some Random Commen with Id 13
14,3,1,79,4,Some Random Commen with Id 14
15,3,1,27,1,Some Random Commen with Id 15
16,3,1,159,5,Some Random Commen with Id 16
17,3,1,117,3,Some Random Commen with Id 17
18,5,3,58,7,Some Random Commen with Id 18
19,5,3,37,8,Some Random Commen with Id 19
20,5,3,17,8,Some Random Commen with Id 20
21,5,3,137,0,Some Random Commen with Id 21
22,6,1,165,3,Some Random Commen with Id 22
23,7,9,106,7,Some Random Commen with Id 23
24,7,9,96,9,Some Random Commen with Id 24
25,7,9,142,6,Some Random Commen with Id 25
26,7,9,109,0,Some Random Commen with Id 26
27,8,3,76,4,Some Random Commen with Id 27
28,8,3,149,4,Some Random Commen with Id 28
29,9,9,130,3,Some Random Commen with Id 29
30,9,9,109,0,Some Random Commen with Id 30
31,10,3,126,1,Some Random Commen with Id 31
32,10,3,141,3,Some Random Commen with Id 32
33,10,3,161,8,Some Random Commen with Id 33
34,10,3,13,3,Some Random Commen with Id 34
35,10,3,178,5,Some Random Commen with Id 35
36,10,3,114,7,Some Random Commen with Id 36
37,11,3,73,6,Some Random Commen with Id 37
38,11,3,185,1,Some Random Commen with Id 38
39,11,3,85,6,Some Random Commen with Id 39
40,12,5,95,1,Some Random Commen with Id 40
41,13,5,66,3,Some Random Commen with Id 41
42,14,9,164,2,Some Random Commen with Id 42
43,14,9,194,2,Some Random Commen with Id 43
44,14,9,65,6,Some Random Commen with Id 44
45,14,9,103,8,Some Random Commen with Id 45
46,15,8,112,8,Some Random Commen with Id 46
47,15,8,195,2,Some Random Commen with Id 47
48,15,8,160,0,Some Random Commen with Id 48
49,16,7,47,9,Some Random Commen with Id 49
50,16,7,10,3,Some Random Commen with Id 50
51,16,7,112,9,Some Random Commen with Id 51
52,16,7,159,4,Some Random Commen with Id 52
53,16,7,82,6,Some Random Commen with Id 53
54,16,7,156,7,Some Random Commen with Id 54
55,18,9,164,1,Some Random Commen with Id 55
56,19,7,41,1,Some Random Commen with Id 56
57,20,9,173,0,Some Random Commen with Id 57
58,20,9,184,8,Some Random Commen with Id 58
59,20,9,80,3,Some Random Commen with Id 59
60,20,9,67,0,Some Random Commen with Id 60
61,20,9,76,4,Some Random Commen with Id 61
62,20,9,77,8,Some Random Commen with Id 62
63,20,9,198,7,Some Random Commen with Id 63
64,20,9,162,4,Some Random Commen with Id 64
65,20,9,46,1,Some Random Commen with Id 65
66,21,8,161,1,Some Random Commen with Id 66
67,21,8,41,5,Some Random Commen with Id 67
68,21,8,94,8,Some Random Commen with Id 68
69,21,8,184,7,Some Random Commen with Id 69
70,21,8,173,0,Some Random Commen with Id 70
71,21,8,48,5,Some Random Commen with Id 71
72,21,8,34,4,Some Random Commen with Id 72
73,22,0,129,9,Some Random Commen with Id 73
74,22,0,146,1,Some Random Commen with Id 74
75,22,0,4,4,Some Random Commen with Id 75
76,22,0,114,7,Some Random Commen with Id 76
77,22,0,72,6,Some Random Commen with Id 77
78,22,0,107,6,Some Random Commen with Id 78
79,22,0,158,8,Some Random Commen with Id 79
80,22,0,58,9,Some Random Commen with Id 80
81,23,5,88,5,Some Random Commen with Id 81
82,23,5,140,1,Some Random Commen with Id 82
83,23,5,148,2,Some Random Commen with Id 83
84,24,7,58,1,Some Random Commen with Id 84
85,24,7,125,5,Some Random Commen with Id 85
86,24,7,169,9,Some Random Commen with Id 86
87,25,9,66,4,Some Random Commen with Id 87
88,25,9,162,1,Some Random Commen with Id 88
89,25,9,149,6,Some Random Commen with Id 89
90,25,9,9,1,Some Random Commen with Id 90
91,25,9,38,2,Some Random Commen with Id 91
92,25,9,173,0,Some Random Commen with Id 92
93,25,9,156,0,Some Random Commen with Id 93
94,26,9,170,6,Some Random Commen with Id 94
95,28,1,47,5,Some Random Commen with Id 95
96,28,1,152,6,Some Random Commen with Id 96
97,29,0,85,9,Some Random Commen with Id 97
98,29,0,10,6,Some Random Commen with Id 98
99,29,0,32,1,Some Random Commen with Id 99
100,29,0,75,4,Some Random Commen with Id 100
101,29,0,25,3,Some Random Commen with Id 101
102,29,0,4,1,Some Random Commen with Id 102
103,29,0,63,5,Some Random Commen with Id 103
104,29,0,168,8,Some Random Commen with Id 104
